company_name,company_industry,employee_count_range,city,platform
Hire Integrated,Staffing and Recruiting,11-50,Salt Lake City,bamboohr
"Power Monitors, Inc.",Manufacturing,11-50,Mount Crawford,bamboohr
Vision33,Software Development,201-500,Irvine,bamboohr
Lighthouse Electric,Construction,501-1000,Canonsburg,bamboohr
"S. W. Cole Engineering, Inc.",Civil Engineering,51-200,Bangor,bamboohr
Broadband Telecom Services,Telecommunications,201-500,Aledo,bamboohr
Quality Agents,Research Services,11-50,Wilmington,bamboohr
The Weitz Company,Construction,1001-5000,Des Moines,bamboohr
AJC International,Food and Beverage Services,201-500,Atlanta,bamboohr
People Science,Human Resources Services,11-50,USA,bamboohr
Bridges Public Charter School,Government Administration,51-200,Washington,bamboohr
Paradigm Design,Architecture and Planning,51-200,Grand Rapids,bamboohr
Spatial Front,IT Services and IT Consulting,201-500,McLean,bamboohr
"Data-Core System, Inc.",IT Services and IT Consulting,201-500,Bristol,bamboohr
Hotel California by the Sea,Hospitals and Health Care,51-200,Newport Beach,bamboohr
Circle of Care,Hospitals and Health Care,51-200,San Antonio,bamboohr
Murray Company,Construction,1001-5000,Rancho Dominguez,bamboohr
"CarData, Inc.",Advertising Services,51-200,Pompano Beach,bamboohr
Brooks Law Group,Legal Services,11-50,Winter Haven,bamboohr
Teads,Advertising Services,1001-5000,New York,bamboohr
Pacific Northern Environmental LLC,Construction,201-500,Longview,bamboohr
The Hill Group,Construction,501-1000,Franklin Park,bamboohr
Dubak Electrical,Construction,201-500,La Grange Park,bamboohr
Gupta Media,Advertising Services,51-200,Boston,bamboohr
SyBridge Technologies,Manufacturing,201-500,Itasca,bamboohr
Pencor Services,Telecommunications,501-1000,Tamaqua,bamboohr
Ratcliff Companies,Construction,51-200,Alexandria,bamboohr
Uhl Company,Facilities Services,51-200,Maple Grove,bamboohr
Liberty Software,Software Development,51-200,Southlake,bamboohr
RCL Mechanical,Construction,51-200,Raynham,bamboohr
Story Construction,Construction,51-200,Ames,bamboohr
Superior Fence and Rail,Construction,51-200,North Charleston,bamboohr
My Health Onsite,Hospitals and Health Care,201-500,Ocoee,bamboohr
VulcanForms,Industrial Machinery Manufacturing,51-200,Burlington,bamboohr
John Mini Distinctive Landscapes,Construction,51-200,New York,bamboohr
Prairie Island Indian Community,Government Administration,51-200,Welch,bamboohr
SimpliGov,Government Administration,11-50,Sacramento,bamboohr
Good Earth Markets,Retail,201-500,American Fork,bamboohr
Reliant Professional Cleaning,Facilities Services,11-50,Grand Haven,bamboohr
Chesters Market Inc,,,John Day,bamboohr
Unbound Now,Non-profit Organizations,11-50,Waco,bamboohr
"CTI, Inc.","Transportation, Logistics, Supply Chain and Storage",201-500,Marana,bamboohr
Technology Lab,IT Services and IT Consulting,,Nashville,bamboohr
New Energy Equity,Services for Renewable Energy,51-200,Annapolis,bamboohr
TFL,Events Services,201-500,Overland Park,bamboohr
Dialpad,Software Development,1001-5000,San Ramon,bamboohr
Axiom Space,Aviation and Aerospace Component Manufacturing,501-1000,Houston,bamboohr
Atomic,Financial Services,501-1000,Miami,bamboohr
Blue Canyon Technologies,Aviation and Aerospace Component Manufacturing,201-500,Lafayette,bamboohr
Classic Fire + Life Safety Inc.,Construction,201-500,London,bamboohr
Constellation Health Services,Hospitals and Health Care,201-500,Norwalk,bamboohr
Transforming Age,Non-profit Organizations,1001-5000,Bellevue,bamboohr
ERICKSON-HALL CONSTRUCTION CO.,Construction,51-200,Escondido,bamboohr
Quantum Leap Property Management,Real Estate,51-200,Austin,bamboohr
Petite Provence,Wholesale Import and Export,1-10,Capitola,bamboohr
Royal Care Certified Home Health Care,Hospitals and Health Care,"5001-10,000",New York,bamboohr
Commonwise Home Care,Hospitals and Health Care,51-200,Charlottesville,bamboohr
Lemonjuice Solutions,Hospitality,1-10,Orlando,bamboohr
Medstar Transportation,"Transportation, Logistics, Supply Chain and Storage",11-50,Yakima,bamboohr
People Architects,Human Resources Services,11-50,Shaker Heights,bamboohr
Sinai Akiba Academy,Education,201-500,Los Angeles,bamboohr
Elevate Eyecare,Hospitals and Health Care,51-200,Columbia,bamboohr
CCI,Real Estate,201-500,Westlake Village,bamboohr
Asure Software,Human Resources Services,501-1000,Austin,bamboohr
Advantage,Hospitals and Health Care,201-500,Pittsburgh,bamboohr
Winchester Interconnect,Manufacturing,1001-5000,Milford,bamboohr
KCR,Pharmaceutical Manufacturing,501-1000,Boston,bamboohr
Moody Engineering LLC,Civil Engineering,11-50,Columbus,bamboohr
DecisivEdge,IT Services and IT Consulting,51-200,Newark,bamboohr
Patriot at Home,Home Health Care Services,201-500,Girard,bamboohr
Improve Your Tomorrow,Non-profit Organizations,51-200,Sacramento,bamboohr
Delta Group,Security and Investigations,201-500,Buford,bamboohr
Welty Building Co.,Construction,51-200,Fairlawn,bamboohr
PCMS,IT Services and IT Consulting,11-50,Dallas,bamboohr
Prime Home Developmental Disabilities Services,Government Administration,11-50,Omaha,bamboohr
Children's Aid Society,Non-profit Organizations,201-500,Birmingham,bamboohr
"Jeff Asbell Excavating & Trucking, Inc.",,,Carl Junction,bamboohr
DAEOC,Higher Education,51-200,Parma,bamboohr
PharmD on Demand,Hospitals and Health Care,201-500,Watkinsville,bamboohr
Zollege,Education,51-200,Austin,bamboohr
GREEN Charter Schools,Primary and Secondary Education,51-200,Greenville,bamboohr
McGuire Sponsel,Business Consulting and Services,51-200,Indianapolis,bamboohr
Rifenburg,Construction,51-200,Troy,bamboohr
The Wave International,Hospitals and Health Care,11-50,Clearwater,bamboohr
Nourish,Hospitals and Health Care,501-1000,New York City,bamboohr
Atlas Systems,IT Services and IT Consulting,201-500,East Brunswick,bamboohr
Neighborhood Health Association,Wellness and Fitness Services,51-200,Toledo ,bamboohr
Parry Labs,Defense and Space Manufacturing,51-200,Alexandria,bamboohr
Hutchinson Community College,Higher Education,501-1000,Hutchinson,bamboohr
CORE,Construction,1001-5000,Frisco,bamboohr
PEG,Textile Manufacturing,1-10,Houston,bamboohr
"Croft Production Systems, Inc.",Oil and Gas,11-50,Needville,bamboohr
Savas Health,Hospitals and Health Care,51-200,Newport Beach,bamboohr
Vytelle,Biotechnology Research,51-200,Lenexa,bamboohr
Capabilities,Professional Training and Coaching,51-200,Saint Marys,bamboohr
TGG Accounting,Accounting,51-200,San Antonio,bamboohr
Knobelsdorff,Construction,201-500,Goodhue,bamboohr
Hunter Auto Group,Retail Motor Vehicles,51-200,Hendersonville,bamboohr
iBusiness Funding,Financial Services,201-500,Fort Lauderdale,bamboohr
Tangent,Plastics Manufacturing,51-200,Aurora,bamboohr
Leaders Furniture,Furniture and Home Furnishings Manufacturing,51-200,Largo,bamboohr
C.A. Hull,Construction,201-500,Commerce,bamboohr
CRBR,Construction,51-200,Chico,bamboohr
Ron Hoover,Maritime Transportation,51-200,Donna,bamboohr
AIMED Human Services,,11-50,Pittsburgh,bamboohr
SYNERGY COMPANIES,Oil and Gas,51-200,Hayward,bamboohr
"Iovance Biotherapeutics, Inc.",Biotechnology Research,501-1000,San Carlos,bamboohr
Accurate Courier Services,"Transportation, Logistics, Supply Chain and Storage",51-200,North Highlands,bamboohr
Northwest Children's Home,Nursing Homes and Residential Care Facilities,51-200,Lewiston,bamboohr
Famous Smoke Shop,Retail,51-200,Easton,bamboohr
Snoqualmie Valley Hospital,Hospitals and Health Care,201-500,,bamboohr
Plug and Play Tech Center,Venture Capital and Private Equity Principals,501-1000,Sunnyvale,bamboohr
Phoenix Technical Solutions,Oil and Gas,51-200,Modesto,bamboohr
Phillip Jeffries,Retail Furniture and Home Furnishings,201-500,Fairfield,bamboohr
Oklahoma Arthritis Center,Hospitals and Health Care,51-200,Edmond,bamboohr
JGM,Architecture and Planning,51-200,Los Angeles,bamboohr
Fieldstone Architecture & Engineering,Construction,51-200,Auburn Hills,bamboohr
Appodeal,IT Services and IT Consulting,201-500,McLean,bamboohr
Cambridge Senior Living,Hospitals and Health Care,11-50,Western Wisconsin,bamboohr
Velocity Restorations,Manufacturing,51-200,,bamboohr
CAM TRAN,Manufacturing,201-500,Charleston,bamboohr
FosterAdopt Connect,Non-profit Organizations,201-500,Independence,bamboohr
Ding,Ground Passenger Transportation,201-500,Malibu,bamboohr
