company_name,company_industry,employee_count_range,city,platform
Community Choice Financial Family of Brands,Financial Services,"5001-10,000",Carrollton,icims
Huntsville Hospital Health System,Hospitals and Health Care,"5001-10,000",Huntsville,icims
Chenega Corporation,IT Services and IT Consulting,"5001-10,000",Anchorage,icims
Natural Grocers,Retail,1001-5000,Lakewood,icims
DISH,Telecommunications,"10,000+",Englewood,icims
The Judge Group,Staffing and Recruiting,1001-5000,Wayne,icims
Crash Champions,Motor Vehicle Manufacturing,"5001-10,000",Westmont,icims
Boyd Gaming,Gambling Facilities and Casinos,"5001-10,000",Las Vegas,icims
"GPM Investments, LLC",Retail,"5001-10,000",Richmond,icims
Kleinfelder,Civil Engineering,1001-5000,San Diego,icims
Lewis Brisbois,Law Practice,1001-5000,Los Angeles,icims
"Barnes & Noble Education, Inc.",Higher Education,"5001-10,000",Basking Ridge,icims
UofL Health,Hospitals and Health Care,"5001-10,000",Louisville,icims
Brookdale,Hospitals and Health Care,"10,000+",Brentwood,icims
Athletico Physical Therapy,Hospitals and Health Care,"5001-10,000",Oak Brook,icims
American House Senior Living Communities,Real Estate,1001-5000,Southfield,icims
Keysight Technologies,"Appliances, Electrical, and Electronics Manufacturing","10,000+",Santa Rosa,icims
Beacon Building Products,Wholesale Building Materials,"5001-10,000",Herndon,icims
Atria Senior Living,Real Estate,"5001-10,000",Louisville,icims
Sun Chemical,Chemical Manufacturing,"10,000+",Parsippany,icims
MyMichigan Health,Hospitals and Health Care,"5001-10,000",Midland,icims
TheKey,Hospitals and Health Care,"5001-10,000",Delray Beach,icims
Vertex Pharmaceuticals,Biotechnology Research,1001-5000,Boston,icims
PacSun,Retail,"5001-10,000",Anaheim,icims
CHE Behavioral Health Services,Mental Health Care,501-1000,Brooklyn,icims
Constellation,Utilities,"5001-10,000",Baltimore,icims
FujiFilm,Retail Office Equipment,1001-5000,Lexington,icims
General Dynamics Ordnance and Tactical Systems,Defense and Space Manufacturing,1001-5000,St. Petersburg,icims
AVI-SPL,IT Services and IT Consulting,1001-5000,Tampa,icims
PetVet Care Centers,Veterinary Services,201-500,Westport,icims
Align Technology,Medical Equipment Manufacturing,"10,000+",Tempe,icims
Pure Storage,IT Services and IT Consulting,"5001-10,000",Santa Clara,icims
St. Luke's Health System,Hospitals and Health Care,"10,000+",Boise,icims
GM Financial,Financial Services,"5001-10,000",Fort Worth,icims
All Ways Caring HomeCare,Hospitals and Health Care,"5001-10,000",Louisville,icims
"Berry Global, Inc.",Plastics Manufacturing,"10,000+",Evansville,icims
